Research,X2,Type,Hashtag/site name,Web address,Place,Start Date,Affiliation,Bios,Date Checked,Number of members,X12,Interviewed,Still exists?,X15,X16,X17
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/367338796780165/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",26 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/923707811090199/?ref=br_rs,unclear,unclear,unclear,WE ARE ALL EQUAL YOU CUT US ALL AND WE ALL BLEED. WE ALL NEED A HEART BEAT TO LIVE AND A BRAIN TO THINK. BLACK LIVES MATTER. TAKE A STAND FOR BLACK PEOPLE EVERYWHERE. THEIR LIVES MATTER JUST AS MUCH AS YOURS AND MINE.,"April 14, 2017",50 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,black lives matter,groups/1790103964538539/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",20 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black lives matter,groups/876763482428608/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",8 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,black lives matter,groups/1790103964538539/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",20 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,black lives matter,groups/1720968841486724/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",10 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/1653288284887213/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",21 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER,groups/784345874968904/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",30 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/431596203702720/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",18 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter,groups/154027025006801/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",15 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter,@BlackLivesMatter,National,2012,Official BLM Facebook Account,"#BlackLivesMatter is an online forum intended to build connections between Black people and our allies to fight anti-Black racism, to spark dialogue amongst Black people, and to facilitate the types of connections necessary to encourage social action and engagement.

We value dialogue and relationship building between and among Black people. We ask that others sharing information on this page be diligent about respecting one another's viewpoints, ensuring that we are not ""preaching at"" our brothers and sisters and those in between. In short, we ask that you use this page as a resource for collaboration and information about issues impacting Black people throughout the diaspora--and to use other venues to sell products, preach the gospel, etc. Posts that do not reflect these values and intended uses will be deleted.

We ask that you use this page in ways that create, spark innovation, solidarity, and foster the practice of Black Love.","April 23, 2017","269,150 Likes",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter,Black-Lives-Matter/1518858171736064,UK,unclear,unclear- event planning service?,n/a,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter,/Black-Lives-Matter-1064543146972411/,unclear,unclear,same logo as #Blacklivesmatter movement,n/a,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter,@blm4eva,unclear,unclear,unclear,n/a,NA,NA,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter,@BlackLMatter,unclear,unclear,unclear,"Let's represent ourselves and show that we aren't afraid and we will stand up for our rights, culture and mind.",4/16/2017,"165 Likes
168 Followers",NA,NA,NA,NA,NA,NA
Karen,NA,Twitter,Black Lives Matter,@Blklivesmatter,"""worldwide""",July 2013,official BLM Twitter account,BLM is an affirmation & embrace of the resistance & resilience of Black people. Founded by @osope @opalayo @aliciagarza…,4/24/2017,NA,NA,NA,NA,**Note: We've been blocked from viewing this page,NA,NA
Marcia,4/24/17,Twitter,Black Lives Matter,@iusc12,"Iowa City, IA",November 2010,unclear,--- Imagine a world post-whiteness ---PhD student at Iowa studying white fragility,4/24/2017,"205 Followers
67 Likes",NA,NA,NA,NA,NA,NA
Marcia,NA,Twitter,Black Lives Matter,@blklivesmatter_,"London, UK",February 2017,unclear,Black Lives Matter Movement,4/23/2017,"3 Followers
3 Likes",NA,NA,NA,NA,NA,NA
Karen,NA,Twitter,Black Lives Matter,@blacktionist,unclear,June 2016,unclear,NA,4/24/2017,"399 Followers
34 Likes",NA,NA,NA,@blmirish,NA,NA
Karen,NA,Twitter,Black Lives Matter,@TokerBR,unclear,unclear,unclear,Don't follow me b,4/24/2017,"570 Followers
9769 Likes",NA,NA,NA,NA,NA,NA
Karen,NA,Twitter,Black Lives Matter,@BLMUKBLM,United Kingdom,July 2016,unclear,#BlackLivesMatter,4/24/2017,"286 Followers
6 Likes",NA,NA,NA,"@BlackLivesUK, @DMVBlackLives, @BLMNYC",NA,NA
Marcia,4/24/17,Twitter,Black Lives Matter,@BLMHamptonRoads,"Virginia Beach, VA",July 2016,unclear,Standing for social equality and justice. #BlackLivesMatter,4/24/2017,"123 Followers
917 Likes",NA,NA,NA,@BLivesMatter757,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter  We Need To Stop Killing Our  People,groups/315058512160925/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",10 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter - Charleston SC,@BlackLivesMatterCHS,"Charleston, SC",unclear,unclear,Equality and Justice for All,"April 18th, 2017","7,892 Likes",NA,NA,NA,NA,blacklivesmatterchs@gmail.com,NA
Marcia,NA,Facebook Groups,Black Lives Matter - CHHS,groups/746654232091065/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",10 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,"Black Lives Matter - Clarksville, TN",groups/1136796723025033/?ref=br_rs,"Clarksville, TN",unclear,"not an affiliated chapter
","Black Lives Matter is a chapter-based national organization working for the validity of Black life. We aren't directly affiliated with any chapter, but We are working to (re)build the Black liberation movement. This is Not a Moment, but a Movement. Let's join together as a city to positively change the perception our people as well as the treatment we receive.","April 9, 2017",113 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,BLACK Lives Matter - for REAL,@blackmatter.life,unclear,unclear,"formal website down
","Proactive participation in the uplift, empowerment, safety, security and enrichment of BLACK and especially ABiA Peoples. Lead, Follow or Get Run Over!",4/16/2017,"9,714 Likes
9,624 Followers",NA,NA,NA,NA,http://blackmatter.life/,Call 877.92.MY FAM
Karen,NA,Twitter,Black Lives Matter - LA,@BLMLA,"Los Angeles, CA",December 2014,"""an original chapter of the #Blacklivesmatter movement""","Official Twitter for #BlackLivesMatter-Los Angeles, an original chapter of the #BlackLivesMatter movement. Follow for updates on LA organizing and actions.",4/24/2017,"24.2K Followers
3009 Likes",NA,NA,NA,"@BLMChiYouth, @Long_Live_BLM, @blmyeg, @BLMBelfast, @BLMHOU, @BlacklivesSD, @BLMLouisville, @BLivesMatter757, @BLMVegas, @DetroitBLM, @SoDak4BLM, @BLMmemphis, @BLMGary, @BLMSacramento, @BlackLivesUK, @BLM_CU, @BLMTampafl, @BLMUpstateNY, @BLMAtlanta, @BLMTampa, @BLMLansing, @BLM_216, @BLMBAYAREA, @blmpasadena, @BLMPhilly, @mvmt4bl, @BLMRU, @blmirish, @BLM_Nashville, @BLMChi, @DMVBlackLives, @BLMPDX, @BLM_IE, @BLMLBC, @BLMNYC, @BLM_TO, @BlackLivesMpls, @BLM5280, @OfficialBLMATL, @PrisonReformMvt, @ShaunKing, @OsopePatrisse ‏",NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter - London,groups/BlackLivesMatterLDN/?ref=br_rs,"London, UK",unclear,unclear,"A group created in solidarity with our brothers and sisters in the U.S in response to the continuous disregard for black lives! 

Our aim is to fundraise, educate and support through peaceful protest and creation of events to support the personal and emotional wellbeing of all involved. 

All posts inciting hatred or violence will be deleted and users will be blocked.","April 11, 2017","1,169 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter - London,@BLMLondon,"London, UK
",unclear,chapter of the #Blacklivesmatter movement,"This page was made to promote Black Lives Matter events occurring in London, as well as a safe space to share relevant articles or videos and whatnot.","April 18th, 2017","2,835 Likes",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter - Los Angeles,@blmla,"Los Angeles, CA","July 13, 2013",chapter of the #Blacklivesmatter movement,"Official page for #BlackLivesMatter-Los Angeles, an original chapter of the #BlackLivesMatter movement. Follow for updates on L.A. organizing & actions.","April 18th, 2017","24,625 Likes",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter - Omaha,@BLMOmaha,"Omaha, NE",unclear,chapter of the #Blacklivesmatter movement,N/A,"April 23, 2017","1,145 Likes",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter - Philadelphia,Black Lives Matter - Philadelphia,"Philedelphia, PA",unclear,unclear,N/A,"April 23, 2017",NA,NA,NA,NA,NA,blacklivesmatterphilly@gmail.com,NA
Marcia,NA,Facebook Pages,"Black Lives Matter - Vancouver, BC",@blacklivesmattervancouver,"Vancouver, Canada
",unclear,chapter of the #Blacklivesmatter movement,"Black folks working in solidarity with communities seeking justice from racialized violence. Grateful to be organizing on Coast Salish territory. Black Lives Matter Vancouver, BC is a chapter of the international movement for Black lives. We are political advocacy group that work from the mandate of the official Black Lives Matter platform that calls for an end to police brutality and aims to lift up Black voices.",4/16/2017,"7,392 Likes
7,472 Followers",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,"Black Lives Matter -Flint, Michigan",groups/1518673295074243/?ref=br_rs,"Flint, MI",unclear,unclear,N/A,"April 11, 2017",673 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter !!! 2,groups/1623822747881320/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",63 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER (DALLAS TEXAS),groups/421750521341754/?ref=br_rs,"Dallas, TX",unclear,"unclear
",THIS IS A SOCIAL MOVEMENT.. BLACK LIVES MATTER BUT ALL LIVE MATTER. JOIN US IN SHOWING THE WORLD VIA SOICAL MEDIA WE ARE TIRED AND WONT TAKE IT ANYMORE!!! KNOWLEDGE IS POWER AND THE POWER IS IN NUMBERS.. FEEL FREE TO POST ANYTHING THAT YOU FEEL IS WRONG NO MATTER WHAT RACE... BLACK LIVES MATTER THE GROUP ( DALLAS TEXAS),"April 9, 2017","1,600 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter @ Hampshire College,groups/1520491041547730/?ref=br_rs,Hampshire College,unclear,unclear,N/A,"April 11, 2017","1,934 MEMBERS",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter # STAND UP KC,groups/1800753866821034/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",22 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter 5280,@BLM5280,"Denver, CO",August 2016,unclear,"Working with residents and organizations in Denver, Black Lives Matter 5280 assists in building more loving and united Black communities while eliminating anti-Black violence and racism. To expose, address and eradicate structures and systems of oppression in Denver, BLM5280 uses a holistic racial justice approach that includes strengthening individual and community health and wellness, relationship-building, educational programming, and direct actions. This chapter is part of a national movement, aligned in Black love, power, and liberation in order to embody the declaration that Black Lives Matter- regardless of gender identity, gender expression, sexual identity, immigration location or status, gang affiliation, profession, ability, economic status, and religious beliefs or disbelief. Also in keeping with the national movement, BLM5280 centers and celebrates the lives and leadership of Black women and girls, aligning all Black people in love, power, and liberation. Our work is to cultivate communities of abundant joy where all Black people are emboldened and empowered to lead, love, heal, and thrive.
","April 18th, 2017","11,742 Likes",NA,NA,NA,NA,info@blacklivesmatter5280.com,NA
Marcia,NA,Facebook Pages,Black Lives Matter 717,@blacklivesmatter717,Central PA,unclear,unclear,"Straight to business . This is a group for individuals tired of just mashing buttons ... Tired of police harassment .. Tired of being dragged out of their cars and placed on the curb for ""routine traffic stops"" .. Tired of being gunned down .. Tired of standing IDLE! Have a story that needs light shed on it? Let us know! We are here for the community to PROTECT our community! #BlackLivesMatter757","April 18th, 2017",878 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter Alabama,groups/blacklivesmattergroup/?ref=br_rs,AL,unclear,unclear,"Black Lives Matter Group is about creating a conversation forum about race issues that affect ""ALL"" lives but ESPECIALLY Black Lives","April 9, 2017","2,303 Members",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Alliance Broward,@BlackLivesMatterAllianceBroward,"Broward Co, FL",unclear,http://www.blacklivesmatteralliancebroward.org/,"We are a Broward County alliance of community organizations and individuals aiming to abolish institutional racism and democratize and transform oppressive systems via popular mobilizations. 

We meet every last Wednesday of the month at the Unitarian Universalist Church of Ft. Lauderdale (3970 NW 21st Ave, Fort Lauderdale, FL 33309). 

Organizations affiliated with the Alliance include: 
- Dream Defenders (Broward SquaDD)
IG: browardddod
Twitter: browardddod
- Food Not Bombs Ft. Lauderdale
IG: foodnotbombsftlauderdale
Twitter: 
- POWIR (People's Opposition to War, Imperialism, and Racism)
www.powir.net
- Unitarian Universalist Church of Ft. Lauderdale
-Broward Green Party
Twitter: @browardgp","April 17, 2017","3,131 Likes",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Also- BIRMINGHAM,Black-Lives-Matter-Also-BIRMINGHAM-1517814975170189/,"Birmingham, AL",unclear,"chapter of the #Blacklivesmatter movement, good articulation of goals","Black Lives Matter-Birmingham is the Birmingham arm of the international Black Lives Matter Movement. 
This movement is centered on the issue of Black Lives being murdered and abused with impunity. This movement DEMANDS that justice be served to those guilty of murder or abuse of Blacks, just as any other people. We DEMAND that law enforcement be charged and prosecuted for crimes against citizens just as citizens are charged for crimes against law enforcement.
The term “Black Lives Matter“ was coined as a result of the murderer of Trayvon Martin being set free, thereby reinforcing the reality that Black Lives in America are too often seen as valueless. The phrase and hashtag organically evolved into a movement as a result of the numerous cases of police murders with impunity (no consequences) of unarmed Black people around the Nation. 
A diverse group of local Black Lives Matter supporters organize protest within their perspective cities in solidarity with the International movement, as well as for protest centered on local issues, for the purposes of, but not limited to:

WHAT WE WANT
-An immediate end to police murders of Black people, as well as an immediate end Police violence and misconduct against Blacks people.

-We want all Police equipped with mandatory body cameras that must be on during all encounters with citizens.
-We want all police involved killings and complaints of misconduct investigated independent of the Police department and with total transparency. 
-We want an end to the mass incarceration and extortion of Black people thru systematic racism and practices.
-We want an immediate end to; racial profiling; the labeling of predominately Black occupied communities as “crime/drug areas”; and the practice of criminalizing Black people by setting up road blocks in predominately Black occupied communities. 
-We want an immediate end to the use of our municipal courts system as extortion rings in the form of grossly high court cost, fines, and other fees.
-We want the 1901 Alabama Constitution that was created to establish white supremacy by law replaced with a new Constitution.

-We want an end to violence and crime in our communities, and we are organizing and developing communities in order to help bring that into reality.
-We want to organize our communities around the concept of an “Village”. 
-We want to set up mentoring programs (civilization classes), buyer clubs/co-op businesses, conflict resolution committees, and community parenting advisory boards, to usher in both a new mentality of self-reliance and dignity amongst our people and job and ownership opportunities for ourselves.

Mission
Our mission is to organize Black people to Love one another, to know and stand up for their rights, to protect themselves against all injustice and abuse, and to set businesses so as to become a self-sufficient people who are a benefit to ourselves.","April 17, 2017","8,857 Likes",NA,NA,NA,NA,blacklivesmatterbirmingham@gmail.com,Call (708) 666-6666
Marcia,NA,Facebook Groups,Black Lives Matter an really know Why...,groups/573117659514890/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",13 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter And Save Our Children,groups/1748416905415757/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",26 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter at School,groups/337168153342821/?ref=br_rs,"Rodchester, NY","unclear
",unclear,"lack Lives Matter at School - A Day of understanding and affirmation of Black lives in our schools for Rochester, NY and around Monroe County. February 17, 2017. 

VISION: Diverse community partners will come together to create a day of education, dialogue and action that will actively engage a significant number of educational communities throughout Monroe County in activities that support understanding and affirming that Black Lives Matter.
GROUP TYPE
","April 14, 2017",413 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter at UTSA,groups/BlackInnovativeMinds/?ref=br_rs,"San Antonio, TX",unclear,unclear,"The purpose of the existence of Black Lives Matter at UTSA is to give Black/African American students a supportive network in which they can discuss the various social issues that affect them and their community. The organization places activism at the forefront and is dedicated to fostering an environment in which students feel empowered and are given the resources and education necessary to evoke positive change on campus and in the San Antonio community. The corner stone of the organization is based on five platforms. These five areas were chosen because they are areas in which Blacks/African American’s have been historically put at a disadvantage or were restricted from completely. These areas include: law and criminal justice, education, health, economics, and entrepreneurship","April 14, 2017",204 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Atlanta,@BLMAtlanta,"Atlanta, GA",2015,chapter of the #Blacklivesmatter movement,http://www.blacklivesmatteratl.org/,"April 17, 2017","6,030 Likes",NA,NA,NA,NA,NA,NA
Karen,NA,Twitter,Black Lives Matter Atlanta,@BLM_Atlanta,"Atlanta, GA",August 2011,"not part of the movement, independent non-profit",Official Street Team Twitter account of @OfficialBLMGA - Got a case you think we should support email AtlantaBlackLivesMatter@gmail.com or call,4/10/2017,"16.1K Followers
1862 Likes",NA,NA,NA,"@BLMGary, @BLMTampa, @BlackLivesUK, @TNBlackLives, @blmirish, @BLM_IE, @BLM_Boston, @PrisonReformMvt, @OfficialBLMATL",NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Austin,@BlackLivesMatterAustin,"Austin, TX",unclear,chapter of the #Blacklivesmatter movement,Black Lives Matter Austin is the official chapter of the Network www.BlackLivesMatter.com. DONATE at www.Crowdrise.com/Black-LivesMatter-Austin. CONTACT us at BlackLivesMatterAustin@gmail.com,"April 17, 2017",NA,NA,NA,NA,NA,BlackLivesMatterAustin@gmail.com,NA
Marcia,NA,Facebook Pages,Black Lives Matter Australia,@BlacklivesmatterAU,Australia,unclear,#BLMau,"#BlackLivesMatter is an online forum intended to build connections between Black people and our allies to fight anti-Black racism, to spark dialogue amongst Black people, and to facilitate the types of connections necessary to encourage social action and engagement.

We value dialogue and relationship building between and among Black people. We ask that others sharing information on this page be diligent about respecting one another's viewpoints, ensuring that we are not ""preaching at"" our brothers and sisters and those in between. In short, we ask that you use this page as a resource for collaboration and information about issues impacting Black people throughout the diaspora--and to use other venues to sell products, preach the gospel, etc. Posts that do not reflect these values and intended uses will be deleted.

We ask that you use this page in ways that create, spark innovation, solidarity, and foster the practice of Black Love.","April 17, 2017","268,533 Likes",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Baltimore,@BLMBaltimore,"Baltimore, MD",unclear,chapter of the #Blacklivesmatter movement,N/A,"April 17, 2017",41 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Bay Area,@BlackLivesMatterBayArea,"San Francisco, CA",unclear,chapter of the #Blacklivesmatter movement,"This is the OFFICIAL public Black Lives Matter Bay Area page, run by Black folk, for us and our allies committed to fighting like hell for Black lives. This is a place for Black people in the SF Bay Area and our allies to get tools, exchange information, and take action to build a powerful local movement for Black Lives, and beyond.",4/16/2017,"22,371 Likes
22,584 Followers",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Belfast,Black Lives Matter Belfast,"Belfast, Northern Ireland",NA,not a chapter,N/A,"April 17, 2017",159 Likes,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,BLACK LIVES MATTER BLACK POWER,groups/520300434838416/?ref=br_rs,unclear,unclear,unclear,N/A,"April 14, 2017",818 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Groups,Black Lives Matter Bloomington,groups/blacklivesmatterbtown/?ref=br_rs,"Bloomington, IN",unclear,using same logo as #BLM movement,N/A,"April 9, 2017",287 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Boston,@BlackLivesMatterBOS,"Boston, MA",unclear,Chapter of the #Blacklivesmatter movement,"Black Lives Matter Boston remains committed to being active in the movement against racist policing and police violence both locally and nationally.
","April 17, 2017","21,450 Like",NA,NA,NA,NA,m4blmboston@gmail.com,NA
Karen,NA,Twitter,Black Lives Matter Boston,@BLM_Boston,"Boston, MA",August 2014,"appears to be a chapter, but unclear",Boston Chapter of #BlackLivesMatter.,4/23/2017,"7,175 Followers
537 Likes",NA,NA,NA,"@BLMHouston, @BLMLouisville, @BLMVegas, @BLMTampafl, @DetroitBLM, @SoDak4BLM, @BLMAtlanta, @BLMmemphis, @BLMCambridge, @BLMTampa, @BLM_CU, @BLMLansing, @BLM_216, @BLMBAYAREA, @BLM_Nashville, @BLMChi, @BLMRU, @DMVBlackLives, @BLMPDX, @BLM_IE, @BLMLA, @BLMTX, @BLMNYC, @BLM_TO, @BlackLivesMpls, @BLM5280, @BLM_Atlanta, @OsopePatrisse @OfficialBLMATL",blmboston@gmail.com,NA
Marcia,NA,Facebook Pages,Black Lives Matter Brandeis,Black Lives Matter Brandeis,Brandeis,"unclear
",unclear,Black Lives Matter at Brandeis and everywhere. Lets hold this institution accountable!,"April 17, 2017",872 Like,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Cambridge,@blacklivesmattercambridge,"Cambridge, MA",2015,Chapter of the #Blacklivesmatter movement,"Black Lives Matter Cambridge is part of the movement to end structural racism both locally, nationally and internationally.","April 17, 2017","9,246  Likes",NA,NA,NA,NA,BlmcCambridge@gmail.com,NA
Marcia,NA,Facebook Groups,Black Lives Matter Challenge,groups/1721454398106296/,unclear,2016,none- business challenge,"The Black Business Challenge formally known as Black Lives Matter Challenge started as a positive mission to shop and support Black Owned Businesses for 30 days. Since July 8, 2016, James Kelley mission has grown faster than anticipated with over 15,000 members in 30 days. 

Many businesses gave positive feedback and support, while gaining more customers. The Black Business Challenge goal is to continue the positive momentum by providing strategic plans and events to make it easy to shop with Black Owned Businesses in person or on-line. 

Here are some guidelines for our group as we continue to grow:
1. Please keep your post and comments positive. Please direct complaints to admins or the vendor only.
2. We do not want political, vulgar, sexual, racist or bad language on postings, and items that are conflict of interest, no directories. 
3. If you have an event, sale, or a need, please post it and respond promptly.
4. If you're interested in hosting an event, advertising, or collaboration? Please contact James Kelley or an admin.","April 14, 2017","16,904 Members",NA,NA,NA,NA,blackbusinesschallenge1@gmail.com,NA
Marcia,NA,Facebook Groups,Black Lives Matter Charlotte,groups/849024471848530/?ref=br_rs,"Charlotte, CA",unclear,unclear,"Our purpose is to acknowledge the tragedies all over the world and use them as an opportunity to promote Unity, Consciousness and Change through legal action to gain Justice for all!
","April 9, 2017",728 Members,NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Chicago,@blacklivesmatterchi,"Chicago, IL",May 2016,http://www.blacklivesmatterchicago.com/,"This group is one of *many* iterations of #BlackLivesMatter: a movement, a rebellion, an affirmation, an intervention… and so much more.","April 18th, 2017","25,911 Likes",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter Cleveland,@BLM216,"Cleveland, OH",August 2015,chapter of the #Blacklivesmatter movement,N/A,"April 18th, 2017","3,376 Likes",NA,NA,NA,NA,blacklivesmatter216@gmail.com,NA
Marcia,NA,Twitter,Black Lives Matter Cleveland,@BLM_216,"Cleveland, OH",August 2015,chapter of the #Blacklivesmatter movement,Local Cleveland Base. Join the Team!,4/23/2017,"1,026 Followers
383 Likes",NA,NA,NA,"@BLMChiYouth, @Long_Live_BLM, @BLMVegas, @BLMTampafl, @BLMUpstateNY, @SoDak4BLM, @BLMGary, @BLMSacramento, @BLMTampa, @BLM_CU, @BLMLansing, @BLM_Nashville, @BLMChi, @DMVBlackLives,  @BLMPDX, @BLM_IE, @BLMNYC, @BLMBoston",blacklivesmatter216@gmail.com,NA
Marcia,NA,Facebook Pages,Black Lives Matter Columbus Ohio,@blacklivesmattercolumbus,"Columbus, OH",NA,chapter of the #Blacklivesmatter movement,"This page helps citizens of Columbus and central Ohio take collective action in solidarity with Black Lives Matter.
","April 18th, 2017","2,961 Likes",NA,NA,NA,NA,NA,NA
Marcia,NA,Facebook Pages,Black Lives Matter DC,@BLACKLIVESMATTERDMV,"Washington, DC",unclear,Chapter of the #Blacklivesmatter movement,"We are Black Lives Matter DC, an arm of the global movement striving for the liberation of ALL Black people. #ALLBlack LivesMatter!Black Lives Matter DMV is a collective of organizers, activists, and  artists in the DC, MD and VA tri-state area who work to combat  anti-blackness and racialized oppression in all of its manifestations as experienced by Black and African diasporic people.",4/16/2017,"17,834 Likes
18,038 Followers",NA,NA,NA,NA,blacklivesmatterdmv@gmail.com,NA
Karen,NA,Twitter,Black Lives Matter DC,@DMVBlackLives,Washington DC,February 2015,chapter of the #Blacklivesmatter movement,An official chapter of the BLM Network. #TakeBackOurStreetsDC #BounceBowser #WeEverywhere #KeepDC4Me #FireTrainer #NeverNewsham,4/24/2017,"12K Followers
1453 Likes",NA,NA,NA,"@BLMChiYouth, @Long_Live_BLM, @BLMBelfast, @BLMCamb, @BLMPeoriaIL, @BLMHOU, @blm_paterson, @BLMLouisville, @BLivesMatter757, @BLMVegas, @Blacktionist, @BLMTampafl, @BLMUpstateNY, @DetroitBLM, @BLMAtlanta, @BLMmemphis, @BLMSacramento, @BlackLivesUK, @BLMLansing, @BLM_216, @TNBlackLives, @blmirish, @BLM_Nashville, @BLMPhilly, @mvmt4bl, @BLMChi, @BLMRU, @BLMPDX, @BLM_IE, @BLMLA, @BLMNYC, @BLM_TO, @BlackLivesMpls, @BLM5280, @JusticePolicy, @OsopePatrisse, @PrisonReformMvt",NA,NA
